Date,Open,High,Low,Close,Change(Pips),Change(%),
07/07/2023 00:00,183.437,183.543,183.14,183.419,-1.8,-0.01,
07/06/2023 23:00,183.524,183.6,183.32,183.441,-8.3,-0.05,
07/06/2023 22:00,183.486,183.559,183.447,183.552,6.6,0.04,
07/06/2023 21:00,183.515,183.6061,183.329,183.48,-3.5,-0.02,
07/06/2023 20:00,183.61,183.62,183.46565,183.5,-11,-0.06,
07/06/2023 19:00,183.658,183.694,183.52817,183.612,-4.6,-0.03,
07/06/2023 18:00,183.58,183.714,183.53,183.653,7.3,0.04,
07/06/2023 17:00,183.393,183.608,183.34,183.595,20.2,0.11,
07/06/2023 16:00,183.268,183.488,183.16,183.405,13.7,0.07,
07/06/2023 15:00,183.173,183.312,182.8,183.248,7.5,0.04,
07/06/2023 14:00,183.642,183.82,183.01,183.17,-47.2,-0.26,
07/06/2023 13:00,183.779,184.004,183.55,183.666,-11.3,-0.06,
07/06/2023 12:00,183.537,183.913,183.44,183.797,26.0,0.14,
07/06/2023 11:00,183.69,183.773,183.48,183.535,-15.5,-0.08,
07/06/2023 10:00,183.747,183.807,183.58,183.689,-5.8,-0.03,
07/06/2023 07:00,182.897,182.916,182.48,182.751,-14.6,-0.08,
07/06/2023 06:00,182.616,182.97,182.606,182.904,28.8,0.16,
07/06/2023 05:00,182.88,182.893,182.53,182.642,-23.8,-0.13,
07/06/2023 04:00,183.087,183.103,182.72,182.886,-20.1,-0.11,
07/06/2023 03:00,183.254,183.27,183.06,183.088,-16.6,-0.09,
07/06/2023 02:00,183.454,183.498,183.2,183.247,-20.7,-0.11,
07/06/2023 01:00,183.124,183.464,183.07,183.452,32.8,0.18,
07/06/2023 00:00,183.56,183.587,183.03,183.125,-43.5,-0.24,
07/05/2023 23:00,183.609,183.63,183.408,183.561,-4.8,-0.03,
07/05/2023 22:00,183.626,183.718,183.52542,183.608,-1.8,-0.01,
07/05/2023 21:00,183.643,183.82667,183.382,183.586,-5.7,-0.03,
07/05/2023 20:00,183.722,183.803,183.68,183.758,3.6,0.02,
07/05/2023 19:00,183.636,183.766,183.6,183.724,8.8,0.05,
07/05/2023 18:00,183.693,183.773,183.57,183.642,-5.1,-0.03,
07/05/2023 17:00,183.795,183.817,183.64,183.668,-12.7,-0.07,
07/05/2023 16:00,183.698,183.882,183.63,183.775,7.7,0.04,
07/05/2023 15:00,183.697,183.847,183.59,183.709,1.2,0.01,
